"","profile_identifier","latitude","longitude","clay.5.15.cm","silt.5.15.cm","sand.5.15.cm","trans_1","trans_2"
"1801","IGAC-CUN-AC-63",4.369366242,-73.37573802,24.73933878,32.79801661,42.46264461,0.540230099225184,0.281973404505555
"1802","IGAC-CUN-AC-65",4.377699616,-73.37796025,12.45,20.3,67.25,1.68669639557123,0.488900263137025
"1803","IGAC-CUN-AC-66",4.459643227,-73.21962107,24.48692482,40.99648521,34.51658998,0.343300783166321,0.515347042168148
"1804","IGAC-CUN-AC-67",4.690479459,-73.33462251,12.0652459,32.24537823,55.68937586,1.52946031000325,0.983045642136717
"1805","IGAC-CUN-AC-68",4.764091187,-73.32712153,41.40318905,26.31400748,32.28280347,-0.248823219914187,-0.453256506854897
"1806","IGAC-CUN-AC-69",5.098540758,-73.55434785,31.77422449,22.15837512,46.06740039,0.37145013947922,-0.36043987620249
"1807","IGAC-CUN-AC-7",4.929100799,-74.16131388,44.55805227,49.41542923,6.0265185,-2.00062340356872,0.10346982363387
"1808","IGAC-CUN-AC-70",5.005762235,-73.5674047,60.22386732,31.67348702,8.102645654,-2.00587810855307,-0.642588781531566
"1809","IGAC-CUN-AC-71",4.927153907,-73.91769476,59.53338148,37.00570304,3.460915478,-2.84500404541909,-0.47546515152589
"1810","IGAC-CUN-AC-72",4.274092009,-73.83436495,28.97250375,40.09584919,30.93164705,0.0654326025088206,0.324925583824036
"1811","IGAC-CUN-AC-74",4.545768207,-74.60744342,39.08924799,52.18020398,8.730548032,-1.49901929811018,0.288855747154237
"1812","IGAC-CUN-AC-75",4.613267501,-74.46549367,37.18200307,39.82351481,22.99448212,-0.480570576454279,0.0686327064193932
"1813","IGAC-CUN-AC-76",4.394934999,-74.76300559,60.34349944,32.03673887,7.619761695,-2.0693081318214,-0.633169893472614
"1814","IGAC-CUN-AC-77",4.292989347,-74.7332832,30.66921587,22.88459928,46.44618485,0.415034916211545,-0.292795247328984
"1815","IGAC-CUN-AC-79",4.393264671,-74.36521458,24.70005252,24.35948179,50.94046569,0.723852241493748,-0.013884200320543
"1816","IGAC-CUN-AC-8",4.829933017,-74.1432587,32.93183813,63.28923859,3.778923274,-2.16500079323772,0.653275394076169
"1817","IGAC-CUN-AC-81",4.521878913,-74.58105383,73.32828228,24.15728913,2.514428588,-3.372900801165,-1.11036021542498
"1818","IGAC-CUN-AC-82",4.517989999,-74.58938753,20.67299632,35.41490809,43.91209559,0.753361485065726,0.538304540941008
"1819","IGAC-CUN-AC-83",5.30716019,-74.19131118,21.0010245,73.75459654,5.244378954,-1.38741439465515,1.25617209699612
"1820","IGAC-CUN-AC-84",4.374653725,-74.40216042,19.36109265,28.02412326,52.61478409,0.999731627812833,0.369800165469441
"1821","IGAC-CUN-AC-85",4.998271202,-74.48243498,24.76434976,40.29184857,34.94380167,0.344335995168622,0.486744070473827
"1822","IGAC-CUN-AC-86",5.068549388,-74.44993319,25.57565243,44.2153618,30.20898577,0.166498600205209,0.547431458765896
"1823","IGAC-CUN-AC-90",4.751323189,-74.35132186,21.77264055,58.08199842,20.14536103,-0.0776801209035478,0.981201617027552
"1824","IGAC-CUN-C-9",4.534380803,-74.77494911,43.5387813,55.73471127,0.726507431,-4.0931586325923,0.246951070359918
"1825","IGAC-CUN-CC-11",4.862706271,-73.64740875,25.62116634,24.32706379,50.05176987,0.66963904715143,-0.0518293532061104
"1826","IGAC-CUN-CC-111",4.326032778,-73.40129478,24.88860339,40.35085618,34.76054043,0.334072844229156,0.483202609810505
"1827","IGAC-CUN-CC-116",4.509367043,-73.34656909,12.91209298,26.03461849,61.05328853,1.5535827527263,0.70126282021719
"1828","IGAC-CUN-CC-123",4.397144135,-73.36740411,29.96212121,27.7034632,42.33441558,0.345666404801008,-0.0783765268955437
"1829","IGAC-CUN-CC-134",4.392419949,-73.16100869,13.95273616,25.08369237,60.96357147,1.4746008672324,0.586542299076454
"1830","IGAC-CUN-CC-140",4.700479317,-73.30573256,36.68977732,23.96357221,39.34665047,0.0699126806463223,-0.425963316418133
"1831","IGAC-CUN-CC-150",4.570756176,-73.31795643,8.148154421,12.83880577,79.01303981,2.27182144953431,0.454680835171536
"1832","IGAC-CUN-CC-152",4.453810384,-73.27323393,42.21248948,25.65073253,32.13677799,-0.272715030434451,-0.498144006612924
"1833","IGAC-CUN-CC-153",4.386865486,-73.28906836,11.375767,33.25895675,55.36527626,1.58246722379738,1.07283871563129
"1834","IGAC-CUN-CC-156",4.337698831,-73.32073656,1.78515625,5.25,92.96484375,3.95271545107591,1.07872213018889
"1835","IGAC-CUN-CC-16",4.682147442,-73.46657133,14.6256522,23.35000734,62.02434046,1.44474990907168,0.467820311466359
"1836","IGAC-CUN-CC-161",4.335197473,-73.17573197,20.44686141,32.32226773,47.23087086,0.837218328015746,0.457927001678316
"1837","IGAC-CUN-CC-162",4.327419607,-73.17989875,32.00567165,45.9965919,21.99773646,-0.374973566274094,0.362654178456686
"1838","IGAC-CUN-CC-165",4.394642229,-73.16350875,24.13010461,48.12970551,27.74018988,0.139422044957599,0.690439349764429
"1839","IGAC-CUN-CC-174",4.899097203,-73.8204696,36.3790663,27.68986365,35.93107004,-0.012391125636682,-0.272927094549559
"1840","IGAC-CUN-CC-176",4.899374944,-73.81741394,11.9605573,24.39211146,63.64733124,1.67174305102511,0.712645434779661
"1841","IGAC-CUN-CC-183",4.878819847,-73.88213855,32.10389766,35.68830703,32.20779531,0.00323106842911763,0.105845655766121
"1842","IGAC-CUN-CC-202",4.726873455,-73.82408253,9.91176771,15.78082938,74.30740291,2.01448787333527,0.465073164149709
"1843","IGAC-CUN-CC-205",4.836597546,-73.91797346,3.408321594,25.59640562,70.99527279,3.03639332545056,2.01623196720735
"1844","IGAC-CUN-CC-210",5.18604158,-73.56684737,4,34,62,2.7408400239252,2.14006616349627
"1845","IGAC-CUN-CC-220",4.966598123,-73.85102554,30.85824846,42.5038324,26.63791914,-0.14706835544815,0.320190158273372
"1846","IGAC-CUN-CC-226",4.818541876,-73.91908476,20.0151552,23.98598113,55.99886367,1.02884165232329,0.180979793501471
"1847","IGAC-CUN-CC-228",5.266320325,-73.58879173,31.37465735,36.14308932,32.48225332,0.0346934122260897,0.141485287248317
"1848","IGAC-CUN-CC-230",5.262431518,-73.59823655,18.89758002,31.6602222,49.44219778,0.961770393042601,0.516027200150112
"1849","IGAC-CUN-CC-236",5.177986683,-73.63046068,34.72421297,29.21401399,36.06177305,0.037796162273484,-0.172788698424239
"1850","IGAC-CUN-CC-251",4.881320064,-73.90075017,11.75727133,42.04142827,46.2013004,1.36853605909221,1.27418363371845
"1851","IGAC-CUN-CC-255",5.166320164,-73.65685053,34.01996879,40.34124086,25.63879035,-0.282841216863355,0.170426622526882
"1852","IGAC-CUN-CC-265",4.255480516,-73.8101976,6.534346045,22.9196407,70.54601325,2.37919289469062,1.2549219430146
"1853","IGAC-CUN-CC-271",4.26853611,-73.80186388,25.19362564,31.59681282,43.20956153,0.539470790746499,0.226465243653281
"1854","IGAC-CUN-CC-284",4.337150086,-74.04937132,16.82932689,26.28516022,56.88551289,1.21791768946141,0.445881516994058
"1855","IGAC-CUN-CC-296",4.444094234,-73.920755,28.07033151,50.00017146,21.92949704,-0.246880573047347,0.577313234200651
"1856","IGAC-CUN-CC-306",4.453262268,-74.05992615,49.91159478,25.08785324,25.00055197,-0.691355432662169,-0.687869541744422
"1857","IGAC-CUN-CC-307",4.445206608,-74.05603724,34.17801734,23.92628116,41.89570149,0.203600562359441,-0.356605184655858
"1858","IGAC-CUN-CC-308",4.446873333,-74.06048183,34.54645736,23.11167061,42.34187203,0.203471470604695,-0.401967297184236
"1859","IGAC-CUN-CC-314",4.526871219,-73.76186017,12.04764889,15.45287374,72.49947737,1.79470982510839,0.248925460599812
"1860","IGAC-CUN-CC-317",4.480761397,-73.93964417,40.25431665,31.61852502,28.12715833,-0.358481645874473,-0.241474060442374
"1861","IGAC-CUN-CC-332",4.542704665,-73.76269335,16.56435006,50.87129987,32.56435006,0.67596533431771,1.12204611204569
"1862","IGAC-CUN-CC-333",4.544371327,-73.76463785,10,18,72,1.97408102602201,0.587786664902119
"1863","IGAC-CUN-CC-352",4.291870028,-73.84464283,35.46691404,20,44.53308596,0.227632154601448,-0.57286798947315
"1864","IGAC-CUN-CC-359",4.435760814,-73.92158847,24.79515382,36.54435793,38.66048826,0.444169879699792,0.387878584887938
"1865","IGAC-CUN-CC-363",4.385482539,-73.90853299,4,18,78,2.9704144655697,1.50407739677627
"1866","IGAC-CUN-CC-52",4.867429253,-73.72074447,13.68990004,14.16369176,72.1464082,1.66203916398927,0.0340234342051514
"1867","IGAC-CUN-CC-57",4.867429262,-73.7238001,25.79658502,25.76186011,48.44155486,0.630115897247667,-0.00134701173252867
"1868","IGAC-CUN-CC-74",4.888263629,-73.81130278,18.00475615,15.96700423,66.02823963,1.29944657014764,-0.120111596270045
"1869","IGAC-CUN-CC-86",4.81909487,-73.65629838,8.718600655,9.501102945,81.7802964,2.23857758958866,0.0859491416418512
"1870","IGAC-CUN-CC-94",5.07909632,-73.57434869,28.98787947,26.7920604,44.22006013,0.422300741909353,-0.0787722034173104
"1871","IGAC-CUN-CT-14a",4.738266141,-74.20270597,15.76559716,41.53523307,42.69916978,0.996349305829042,0.96871188556217
"1872","IGAC-CUN-CT-2b",4.679654258,-74.17603895,81.32832654,14.03188666,4.639786804,-2.86382595802708,-1.75716201745063
"1873","IGAC-CUN-CT-4a",4.84048806,-74.08075651,11.46452722,34.24417215,54.29130063,1.5551063260608,1.09425871537371
"1874","IGAC-CUN-CU-1",4.389379071,-74.73133789,67.97080433,25.79549522,6.233700446,-2.38910813635319,-0.968878392085019
"1875","IGAC-CUN-CU-10",4.455490369,-74.69133596,62.5846688,24.24599359,13.16933761,-1.55862912164103,-0.948268949812256
"1876","IGAC-CUN-CU-105",4.91438264,-74.60021749,16.12715833,17.87284167,66,1.40915003837921,0.102777631908237
"1877","IGAC-CUN-CU-107",5.4096572,-73.80018605,23.60376214,42.39623786,34,0.364954412577589,0.585653516545644
"1878","IGAC-CUN-CU-108",5.407157161,-73.80296401,9.571897164,24.08764142,66.34046142,1.93596856230597,0.922867478248104
"1879","IGAC-CUN-CU-111",5.360491569,-73.95130268,10,20.38160274,69.61839726,1.94044376786599,0.712047574495397
